name,type,height,classify,gender,weight,ability,description,evolution,img
 이상해씨,풀;독,0.7,씨앗,b,6.9,심록,태어나서부터 얼마 동안은 등의 씨앗으로부터 영양을 공급받아 크게 성장한다.,1;이상해씨;2;이상해풀;3;이상해꽃,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000101.png
 이상해풀,풀;독,1,씨앗,b,13,심록,등의 봉오리가 부풀어 오르면 달콤한 냄새가 감돌기 시작한다. 큰 꽃이 필 조짐이다.,1;이상해씨;2;이상해풀;3;이상해꽃,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000201.png
 이상해꽃,풀;독,2,씨앗,b,100,심록,비가 내린 다음 날은 등의 꽃향기가 강해진다. 향기에 이끌려 포켓몬이 모여든다.,1;이상해씨;2;이상해풀;3;이상해꽃,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000301.png
 메가이상해꽃,풀;독,2.4,씨앗,b,155.5,두꺼운지방,큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.,1;이상해씨;2;이상해풀;3;이상해꽃,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000302.png
 이상해꽃,풀;독,24,씨앗,b,1.00E+09,심록,2개의 굵은 덩굴을 휘둘러서 싸운다. 10층 빌딩을 가볍게 넘어뜨릴 정도로 파워풀하다.,1;이상해씨;2;이상해풀;3;이상해꽃,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000303.png
 파이리,불꽃,0.6,도롱뇽,b,8.5,맹화,파이리 꼬리의 불꽃은 생명의 등불이다. 건강할 때는 불꽃도 강하게 타오른다.,4;파이리;5;리자드;6;리자몽,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000401.png
 리자드,불꽃,1.1,화염,b,19,맹화,리자드가 사는 바위산을 한밤중에 올려다보면 꼬리의 불꽃이 별처럼 보인다.,4;파이리;5;리자드;6;리자몽,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000501.png
 리자몽,불꽃;비행,1.7,화염,b,90.5,맹화,힘든 싸움을 경험한 리자몽일수록 불꽃 온도가 높아진다고 전해진다.,4;파이리;5;리자드;6;리자몽,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000601.png
 메가리자몽X,불꽃;드래곤,1.7,화염,b,110.5,단단한발톱,입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.,4;파이리;5;리자드;6;리자몽,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000602.png
 메가리자몽Y,불꽃;비행,1.7,화염,b,100.5,가뭄,입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.,4;파이리;5;리자드;6;리자몽,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000603.png
 리자몽,불꽃;비행,28,화염,b,1.00E+09,맹화,거다이맥스의 파워에 의해 불꽃의 날개를 가진 거대한 리자몽의 모습이 만들어졌다.,4;파이리;5;리자드;6;리자몽,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000604.png
 꼬부기,물,0.5,꼬마거북,b,9,급류,등껍질에 숨어 몸을 보호한다. 상대의 빈틈을 놓치지 않고 물을 뿜어내어 반격한다.,7;꼬부기;8;어니부기;9;거북왕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000701.png
 어니부기,물,1,거북,b,22.5,급류,만 년의 수명을 가지고 있다고 전해진다. 치렁치렁한 꼬리는 장수의 상징으로서 인기가 있다.,7;꼬부기;8;어니부기;9;거북왕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000801.png
 거북왕,물,1.6,껍질,b,85.5,급류,등껍질의 로켓포로부터 뿜어내는 물줄기는 두꺼운 철판도 한 번에 꿰뚫는 파괴력이 있다.,7;꼬부기;8;어니부기;9;거북왕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000901.png
 메가거북왕,물,1.6,껍질,b,101.1,메가런처,무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.,7;꼬부기;8;어니부기;9;거북왕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000902.png
 거북왕,물,25,껍질,b,1.00E+09,급류,정밀하게 사격하지는 못한다. 31개의 대포에서 포탄을 연달아 쏘아대는 스타일로 공격한다.,7;꼬부기;8;어니부기;9;거북왕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/000903.png
 캐터피,벌레,0.3,애벌레,b,2.9,인분,빨간 더듬이로부터 냄새를 내어 상대를 쫓아 버린다. 탈피를 반복하여 자라난다.,10;캐터피;11;단데기;12;버터플,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001001.png
 단데기,벌레,0.7,번데기,b,9.9,탈피,강철같이 단단한 껍질로 부드러운 몸을 보호하고 있다. 진화할 때까지 가만히 참고 있다.,10;캐터피;11;단데기;12;버터플,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001101.png
 버터플,벌레;비행,1.1,나비,b,32,복안,꽃의 꿀을 매우 좋아한다. 약간의 꽃가루만으로 꽃밭이 있는 장소를 찾아낼 수 있다.,10;캐터피;11;단데기;12;버터플,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001201.png
 버터플,벌레;비행,17,나비,b,1.00E+09,복안,거다이맥스의 파워가 결정이 되어 눈부시게 빛나는 맹독성의 인분을 갖게 되었다.,10;캐터피;11;단데기;12;버터플,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001202.png
 뿔충이,벌레;독,0.3,송충이,b,3.2,인분,매일 자신과 똑같은 무게의 잎사귀를 먹는다. 머리의 침으로 달려드는 상대를 물리친다.,13;뿔충이;14;딱충이;15;독침붕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001301.png
 딱충이,벌레;독,0.6,번데기,b,10,탈피,천적에게 발견되지 않도록 잎사귀 뒷면이나 가지의 틈새에 숨어서 진화할 때를 기다린다.,13;뿔충이;14;딱충이;15;독침붕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001401.png
 독침붕,벌레;독,1,독벌,b,29.5,벌레의알림,고속으로 날아다니며 독침으로 공격한 뒤 바로 날아가 버리는 전법이 특기다.,13;뿔충이;14;딱충이;15;독침붕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001501.png
 메가독침붕,벌레;독,1.4,독벌,b,40.5,적응력,양손과 엉덩이에 있는 3개의 독침으로 상대를 찌르고 찌르고 또 찌르며 공격한다.,13;뿔충이;14;딱충이;15;독침붕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001502.png
 구구,노말;비행,0.3,아기새,b,1.8,날카로운눈;갈지자걸음,싸움을 좋아하지 않는 얌전한 성격이지만 어설프게 건드리면 강력한 반격을 당하게 된다.,16;구구;17;피죤;18;피죤투,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001601.png
 피죤,노말;비행,1.1,새,b,30,날카로운눈;갈지자걸음,넓은 영역을 날아다니며 먹이를 찾는다. 발달한 발톱으로 먹이를 꼼짝 못 하게 한다.,16;구구;17;피죤;18;피죤투,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001701.png
 피죤투,노말;비행,1.5,새,b,39.5,날카로운눈;갈지자걸음,피죤투의 힘찬 날갯짓은 큰 나무도 휠 정도의 강풍을 일으킨다.,16;구구;17;피죤;18;피죤투,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001801.png
 메가피죤투,노말;비행,2.2,새,b,50.5,노가드,먹이를 찾을 때 수면을 아슬아슬하게 미끄러지듯 날아 잉어킹 등을 움켜잡는다.,16;구구;17;피죤;18;피죤투,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001802.png
 꼬렛,노말,0.3,쥐,b,3.5,도주;근성,어떤 장소에도 정착하여 살아갈 수 있는 생명력이 있다. 경계심이 매우 강하다.,19;꼬렛;20;레트라,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001901.png
 꼬렛,악;노말,0.3,쥐,b,3.8,먹보;의욕,앞니로 문을 갉아서 민가에 침입한다. 수염을 실룩거리며 먹이를 찾아내 훔쳐간다.,19;꼬렛;20;레트라,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/001902.png
 레트라,노말,0.7,쥐,b,18.5,도주;근성,계속 자라는 앞니를 갈아 내려고 딱딱한 것을 갉는 습성이 있다. 벽돌로 된 벽도 갉아서 부순다.,19;꼬렛;20;레트라,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002001.png
 레트라,악;노말,0.7,쥐,b,25.5,먹보;의욕,꼬렛을 통솔하여 그룹을 만든다. 그룹 간에는 영역이 있어 먹이를 둘러싸고 쟁탈전을 벌인다.,19;꼬렛;20;레트라,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002002.png
 깨비참,노말;비행,0.3,아기새,b,2,날카로운눈,작은 날개를 쉴 새 없이 파닥여 날아오른다. 풀밭에 있는 먹이를 부리로 찾아낸다.,21;깨비참;22;깨비드릴조,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002101.png
 깨비드릴조,노말;비행,1.2,부리,b,38,날카로운눈,큰 날개로 온종일 날아다닐 수 있는 체력의 소유자다. 날카로운 부리로 싸운다.,21;깨비참;22;깨비드릴조,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002201.png
 아보,독,2,뱀,b,6.9,위협;탈피,소리를 전혀 내지 않고 풀밭 속을 나아간다. 방심하고 있는 먹이를 배후에서 덮친다.,23;아보;24;아보크,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002301.png
 아보크,독,3.5,코브라,b,65,위협;탈피,배의 무늬로 상대를 위협한다. 무늬에 겁을 먹고 움직일 수 없게 된 사이에 몸으로 조인다.,23;아보;24;아보크,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002401.png
 피카츄,전기,0.4,쥐,b,6,정전기,양 볼에는 전기를 저장하는 주머니가 있다. 화가 나면 저장한 전기를 단숨에 방출한다.,172;피츄;25;피카츄;26;라이츄,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002501.png
 피카츄,전기,21,쥐,b,1.00E+09,정전기,팽창한 거다이맥스의 파워에 의해 몸이 부풀어서 꼬리가 하늘까지 닿게 되었다.,172;피츄;25;피카츄;26;라이츄,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002502.png
 라이츄,전기,0.8,쥐,b,30,정전기,꼬리가 어스 역할을 하여 전기를 지면으로 흘려보내므로 자신은 감전되거나 하지 않는다.,172;피츄;25;피카츄;26;라이츄,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002601.png
 라이츄,전기;에스퍼,0.7,쥐,b,21,서핑테일,알로라지방의 기후와 풍토 그리고 먹이가 이런 모습으로 진화하게 된 원인으로 여겨지고 있다.,172;피츄;25;피카츄;26;라이츄,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002602.png
 모래두지,땅,0.6,쥐,b,12,모래숨기,비가 거의 내리지 않는 건조한 토지에 서식한다. 몸을 둥글게 말아서 자신을 보호한다.,27;모래두지;28;고지,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002701.png
 모래두지,얼음;강철,0.7,쥐,b,40,눈숨기,눈으로 봉쇄된 산악 지대에 사는 동안 얼음으로 된 강철처럼 단단한 몸을 갖게 되었다.,27;모래두지;28;고지,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002702.png
 고지,땅,1,쥐,b,29.5,모래숨기,몸을 둥글게 말아서 등으로 몸통박치기한다. 날카로운 가시들이 큰 데미지를 준다.,27;모래두지;28;고지,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002801.png
 고지,얼음;강철,1.2,쥐,b,55,눈숨기,커다란 갈고리발톱으로 높이 쌓인 눈을 헤치며 달린다. 설산에서는 어떤 포켓몬보다 빠르다.,27;모래두지;28;고지,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002802.png
 니드런♀,독,0.4,독침,f,7,독가시;투쟁심,싸움을 좋아하지 않는 성격이다. 독침에서 분비된 독은 한 방울만 맞아도 생명을 빼앗긴다.,29;니드런♀;30;니드리나;31;니드퀸,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002901.png
 니드리나,독,0.8,독침,f,20,독가시;투쟁심,위험을 느끼면 전신의 가시를 곤두세운다. 니드리노에 비해서 가시의 성장이 느리다.,29;니드런♀;30;니드리나;31;니드퀸,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003001.png
 니드퀸,독;땅,1.3,드릴,f,60,독가시;투쟁심,갑옷처럼 단단한 비늘이 전신을 둘러싼다. 둥지의 새끼를 목숨 걸고 지킨다.,29;니드런♀;30;니드리나;31;니드퀸,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003101.png
 니드런♂,독,0.5,독침,m,9,독가시;투쟁심,풀밭 위로 귀만 내놓고 주위의 낌새를 살핀다. 맹독의 뿔로 몸을 보호한다.,32;니드런♂;33;니드리노;34;니드킹,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003201.png
 니드리노,독,0.9,독침,m,19.5,독가시;투쟁심,기질이 거친 포켓몬이다. 상대를 깊이 찌른 충격으로 뿔에서 맹독이 배어 나온다.,32;니드런♂;33;니드리노;34;니드킹,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003301.png
 니드킹,독;땅,1.4,드릴,m,62,독가시;투쟁심,꼬리를 한 번 휘두르면 전신주를 성냥개비마냥 두 동강 내 버린다.,32;니드런♂;33;니드리노;34;니드킹,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003401.png
 삐삐,페어리,0.6,요정,b,7.5,헤롱헤롱바디;매직가드,귀여운 표정과 동작으로 인기가 많다. 조용한 산속에서 동료들과 사는 것으로 여겨지고 있다.,173;삐;35;삐삐;36;픽시,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003501.png
 픽시,페어리,1.3,요정,b,40,헤롱헤롱바디;매직가드,거의 모습을 드러내지 않는다. 보름달에 이끌려 인적 없는 호수에서 논다고 전해진다.,173;삐;35;삐삐;36;픽시,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003601.png
 식스테일,불꽃,0.6,여우,b,9.9,타오르는불꽃,불꽃의 구슬을 조종한다. 성장하면 6개의 꼬리는 끝이 갈라져서 한층 더 늘어난다.,37;식스테일;38;나인테일,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003701.png
 식스테일,얼음,0.6,여우,b,9.9,눈숨기,알로라지방의 만년설이 쌓인 산에서 오랫동안 살면서 얼음의 능력을 손에 넣었다.,37;식스테일;38;나인테일,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003702.png
 나인테일,불꽃,1.1,여우,b,19.9,타오르는불꽃,9개의 꼬리에는 신비한 힘이 깃들어 있다고 전해진다. 천 년을 살 수 있는 듯하다.,37;식스테일;38;나인테일,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003801.png
 나인테일,얼음;페어리,1.1,여우,b,19.9,눈숨기,눈으로 폐쇄된 신이 사는 산에 살았기 때문에 과거에는 신의 화신으로 숭상받아왔다.,37;식스테일;38;나인테일,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003802.png
 푸린,노말;페어리,0.5,풍선,b,5.5,헤롱헤롱바디;승기,초롱초롱한 눈동자가 흔들릴 때 졸음이 쏟아지게 하는 이상하고 기분 좋은 노래를 부른다.,174;푸푸린;39;푸린;40;푸크린,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/003901.png
 푸크린,노말;페어리,1,풍선,b,12,헤롱헤롱바디;승기,얇고 고운 털을 지니고 있다. 화나게 하면 몸을 점점 부풀리며 덮쳐 오기 때문에 주의가 필요하다.,174;푸푸린;39;푸린;40;푸크린,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004001.png
 주뱃,독;비행,0.8,박쥐,b,7.5,정신력,입에서 내는 초음파로 두 눈이 없어도 주위의 장애물을 탐색할 수 있다.,41;주뱃;42;골뱃;169;크로뱃,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004101.png
